Pulse,CMi1,CMi2,CMi3,CMi4,CMi5,CMi6,CMi7,CMi8,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,CM25,CM26
46,115.112695,124.389854,125.719601,117.944766,125.778955,114.256707,112.648221,118.651916,111.23137,108.566035,109.420796,107.931982,111.605853,106.252059,105.765408,110.351201,105.599878,102.769347,106.626578,104.82656,107.854137,107.892004,107.276657,106.710079,106.021631,104.078276,108.787611,109.273275,107.371891,105.918314,102.018215,105.027205,107.46722,105.475591
47,115.173698,124.728602,126.050333,118.073218,125.967309,114.318238,113.263065,119.061932,111.450201,108.644694,109.753099,108.077142,111.777457,106.335898,105.82221,110.782502,105.672405,102.826252,106.638605,104.919557,107.99439,107.995846,107.492795,106.691204,105.865731,104.236237,109.070796,109.33481,107.371891,105.907773,102.043871,105.609625,107.607971,105.928535
48,115.18333,125.019338,126.799649,118.20167,126.567488,114.539749,113.658322,119.266939,111.562574,108.65256,109.756422,108.27933,112.292269,106.500584,105.964215,110.844116,105.710578,102.959029,106.794949,105.012555,107.99439,108.099688,107.492795,106.89883,105.982656,104.372006,109.230088,109.525568,107.491759,105.986825,102.347458,105.452525,107.882065,106.079517
49,115.404867,125.598144,126.990853,118.330122,126.471715,114.675117,113.658322,119.471947,111.621718,109.014395,109.909281,108.424491,112.220014,106.557475,106.10622,111.028959,105.81746,103.034901,106.915213,105.105552,108.134642,108.203531,107.708934,106.93658,106.060606,104.3707,109.606195,109.402498,107.761462,105.981555,102.013939,105.55215,107.956145,105.21389
50,115.668144,126.097597,127.182058,118.49711,126.375942,115.155058,113.658322,119.946791,111.840549,108.880673,110.121955,108.429675,112.635477,106.641315,106.10622,111.275416,105.718212,103.091806,107.071557,105.086952,108.274895,108.307373,107.853026,107.115893,106.158043,104.524745,109.639381,109.291736,108.001199,106.071146,102.317527,105.456357,107.763538,106.069451
51,115.844731,126.59705,128.675521,118.587026,127.512451,115.247354,114.273166,119.623493,111.952922,109.10092,110.304722,108.574835,112.40065,106.725155,106.219824,111.275416,105.893805,103.167678,107.047505,105.291547,108.415147,108.411215,107.853026,107.068705,106.216506,104.484276,109.672566,109.740939,107.851364,106.134387,102.26194,105.555981,108.037632,105.415199
52,116.143325,127.096503,129.19229,118.676943,127.461371,115.524243,114.448836,119.850812,112.012065,109.108786,110.36786,108.719996,112.816113,106.701201,106.305027,111.33703,106.069397,103.14871,107.167769,105.300846,108.415147,108.515057,108.069164,107.248018,106.343175,104.550854,109.389381,109.630177,107.761462,106.461133,102.193526,105.950648,108.178384,105.123301
53,116.233224,127.595956,129.802077,118.882466,127.410292,115.573468,114.361001,120.190106,112.177667,109.612208,110.490812,108.76147,113.132225,106.758092,106.418631,111.521873,106.10757,103.281487,107.324113,105.365944,108.5554,108.722741,108.14121,107.351831,106.138556,104.43989,109.685887,110.036305,107.911298,106.355731,102.13794,105.908499,108.385806,105.767489
54,116.612085,127.526606,129.714227,119.165061,127.416677,115.665764,114.712341,120.5294,112.396499,109.620074,110.733393,108.813313,113.059971,107.030572,106.475433,111.829945,106.214452,103.319423,107.408298,105.486841,108.5554,108.722741,108.285303,107.351831,106.255481,104.596546,109.685887,110.485509,108.330836,106.461133,102.411596,105.954479,108.393214,105.848012
55,116.673088,127.966712,130.184487,119.062299,127.423062,115.844204,114.931928,120.822388,112.295955,109.698734,110.766623,108.865156,113.394147,107.033566,106.560636,111.829945,106.252624,103.319423,107.348166,105.468241,108.415147,108.826584,108.357349,107.389581,106.206762,104.49733,109.982393,110.331672,108.360803,106.587615,102.287596,106.019618,108.467294,105.556115
56,116.82078,128.449495,132.143042,119.152216,127.573107,115.807285,115.327185,121.115377,112.514786,109.777393,110.859668,109.150293,113.403179,107.171303,106.617438,111.829945,106.393862,103.338392,107.540589,105.561239,108.5554,108.826584,108.429395,107.568894,106.577024,104.727092,110.130646,110.07938,108.392197,106.83531,102.321803,106.011955,108.674717,106.059386
57,117.206062,129.052306,131.450571,119.396275,127.723152,115.727295,115.327185,120.731461,112.733617,110.068434,110.833084,109.212505,113.430275,107.201246,106.731042,111.953173,106.466389,103.433232,107.372219,105.710034,108.835905,109.034268,108.645533,107.578331,106.518562,104.601768,110.278899,110.313211,108.420737,106.714097,102.62539,106.084757,108.615453,105.294414
58,117.369807,129.655117,132.246396,119.447656,127.984574,115.991878,115.107598,120.985721,112.792761,110.005506,111.188649,109.311006,113.683165,107.20424,106.816245,112.261245,106.538917,103.4522,107.70896,105.914628,108.835905,109.034268,108.645533,107.616082,106.615999,104.887665,110.427152,110.460895,108.690441,106.87747,102.411596,106.042609,108.822876,105.586311
59,117.546394,129.705796,132.809674,119.614644,128.285042,116.730249,115.678524,121.239981,113.011592,110.225753,111.258432,109.316191,114.098627,107.315028,106.844646,114.143904,106.680154,103.528073,107.684907,105.923928,108.976157,109.13811,108.789625,107.634957,106.72318,104.996018,110.575406,110.467048,108.571999,106.909091,102.505666,106.226531,108.830284,105.596376
60,117.90278,130.269931,132.210222,119.666024,128.309105,116.865617,115.019763,121.494241,113.123965,110.375206,111.32157,109.368034,113.945087,107.398868,106.901448,112.322859,106.683971,103.603945,107.841251,106.044825,109.11641,109.13811,108.861671,107.776519,106.693949,104.911163,110.723659,111.230078,108.931604,106.961792,102.561252,106.238026,108.904363,105.32461
61,118.194953,130.834067,135.7966,119.67887,129.157553,117.03175,115.546772,121.748501,113.289567,110.453866,111.414615,109.419877,114.360549,107.563554,107.043454,114.451975,106.653434,103.603945,107.925436,106.026225,109.11641,109.345794,109.005764,107.757644,106.869336,104.925523,110.871912,110.977786,108.721835,107.283267,102.813529,106.552226,109.178458,105.898339
62,118.631606,131.246833,135.61573,119.922929,129.180761,117.007138,115.810277,122.139153,113.295481,110.249351,111.717011,109.601327,114.188945,107.620445,107.043454,114.451975,106.725961,103.698786,107.901383,106.063424,109.256662,109.449637,109.149856,107.861457,106.752412,104.815864,111.020165,111.297766,108.6619,107.125165,102.71946,106.590543,109.119194,105.717162
63,118.779298,131.659598,134.365149,120.051381,129.268541,117.142506,116.205534,122.529804,113.354625,110.823566,111.660519,109.606511,114.604408,107.623439,107.100256,114.451975,106.798488,103.774659,108.021648,106.128522,109.396914,109.449637,109.221902,108.00302,106.898568,104.571742,111.168418,111.703895,109.051472,107.130435,102.903322,106.655682,109.259945,105.848012
64,118.926989,132.072364,135.95163,120.064226,129.581721,117.493232,116.029864,122.817741,113.573456,110.831432,111.9031,109.798331,114.613439,107.626434,107.185459,114.760047,106.905371,103.793627,108.141912,106.109923,109.256662,109.553479,109.293948,108.04077,106.95703,105.040404,111.316671,111.02086,109.141373,107.198946,102.509941,106.506246,109.200682,105.837947
65,119.334746,132.278747,136.654436,120.231214,129.897494,117.327098,116.688625,123.221863,113.6326,110.910092,112.115774,109.756856,114.703757,107.845016,107.21386,112.939002,107.012253,103.831563,108.262177,106.286618,109.256662,109.657321,109.365994,108.087958,106.986261,105.159202,111.464924,111.211618,109.111406,107.177866,102.535597,106.820446,109.408104,106.200302
66,119.598022,132.48513,136.822386,120.282595,130.042958,117.677824,116.512956,123.244595,113.744973,110.988752,112.08919,109.772409,115.037934,107.821062,107.21386,115.252961,107.119136,103.831563,108.274203,106.379615,109.396914,109.657321,109.43804,108.11627,107.151905,105.131787,111.613178,111.660821,109.231274,107.183136,102.839184,106.671009,109.415512,106.351283
67,119.797085,132.715852,136.990336,120.29544,130.225079,118.127,116.732543,123.267327,113.963804,111.067411,112.182235,110.057546,115.065029,107.877953,107.355865,113.123845,107.191663,103.850531,108.28623,106.472612,109.537167,109.865005,109.43804,108.15402,107.229855,105.040404,111.761431,111.722356,109.201307,107.741765,102.873391,106.958388,109.42292,105.727227
68,120.031465,132.946574,138.297762,120.500963,130.467668,118.176224,116.512956,123.024854,114.129406,111.429246,112.155651,110.06273,114.992775,107.934844,107.412667,115.376189,107.19548,103.907436,108.478653,106.53771,109.537167,109.865005,109.654179,108.248396,107.19088,104.918996,112.057937,111.340841,109.021505,107.515152,102.629666,106.694,109.630343,105.45546
69,120.156681,132.97977,138.163402,120.475273,130.500865,118.139306,116.864295,123.357833,114.082091,111.366318,112.338418,110.161232,115.326951,108.09953,107.49787,115.437804,107.336718,103.945372,108.562838,106.630708,109.677419,109.968847,109.726225,108.371083,107.278574,105.009073,112.057937,111.617747,109.351142,107.578393,102.84346,107.115488,109.704423,105.32461
70,120.391061,133.106723,137.610459,120.719332,130.627817,118.360817,116.996047,123.690813,114.088006,111.374184,112.431462,110.259734,115.17341,108.210318,107.554672,115.80749,107.30618,103.945372,108.538785,106.55631,109.677419,110.07269,109.870317,108.465459,107.376011,105.125259,112.354443,111.808504,109.411076,107.520422,102.809253,107.314737,109.845174,105.777554
71,120.509857,133.539055,139.941088,120.809249,131.06015,118.280827,117.347387,124.023793,114.253608,111.594431,112.434785,110.161232,115.245665,108.26721,107.611474,115.561032,107.447418,104.059181,108.622971,106.621408,109.817672,110.176532,109.870317,108.399396,107.42473,105.046932,112.502696,111.64236,109.500977,107.878788,103.023047,107.03119,109.852582,105.998993
72,120.744237,133.99426,141.108987,120.899165,131.515355,118.686931,117.654809,124.356772,114.472439,111.673091,112.587645,110.39971,115.17341,108.243255,107.668276,115.561032,107.588655,104.116085,108.598918,106.714405,109.817672,110.176532,110.014409,108.456021,107.414986,110.072976,112.650949,111.876192,109.411076,107.794466,102.779322,107.264925,109.926661,105.304479
73,120.978617,134.022054,140.742081,120.989082,131.543149,119.037657,117.391304,124.656917,114.478353,111.75175,112.830226,110.358235,115.670159,108.354044,107.725078,115.930718,107.592472,104.135053,108.82742,106.918999,110.098177,110.384216,110.086455,108.465459,107.463705,105.454237,112.799203,112.196173,109.68078,107.799736,103.052978,107.3224,110.000741,106.109713
74,121.212997,134.534722,143.909875,121.117534,132.055817,119.000738,117.303469,124.957062,114.697185,111.83041,112.71392,110.467106,115.760477,108.303141,107.78188,115.869104,107.630645,104.172989,108.875526,106.928299,109.957924,110.280374,110.158501,108.531521,107.42473,106.369369,112.947456,111.986955,109.590879,107.757576,103.236841,107.307073,110.008149,105.837947
75,121.505169,134.414288,142.566276,121.014772,131.935382,118.96382,117.698726,125.257207,114.703099,111.979863,113.016316,110.518949,115.868858,108.467826,107.838682,116.362018,107.668817,104.248862,108.887553,106.965498,110.098177,110.384216,110.230548,108.625897,107.570886,105.664417,113.095709,111.962341,109.950483,107.810277,102.71946,107.264925,110.1489,105.425264
